"Add a link"
"An error occurred while saving your picto. Please try againg later."
"Are you sure you want to delete this link?"
"Are you sure you want to delete this picture?"
"Link"
"Link has been successfully deleted"
"Link has been successfully saved"
"Link:"
"Picto"
"The image has been successfully deleted"
"The image has been successfully saved"
"Your links"
